"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Familiar:Reasonsboxes","Independent from big companies:Reasonsboxes","Recommended by a friend:Reasonsboxes","Customizable:Reasonsboxes","Different from the usual:Reasonsboxes","Open-source:Reasonsboxes","Friendly:Reasonsboxes","Fast at loading pages:Reasonsboxes","Popular:Reasonsboxes","Stable- doesn’t crash:Reasonsboxes","Loved by the tech press:Reasonsboxes","Cool:Reasonsboxes","Easy to find on my computer:Reasonsboxes","Simple to use:Reasonsboxes","Full of features:Reasonsboxes","Secure:Reasonsboxes","Private:Reasonsboxes","Efficient:Reasonsboxes","Socially responsible:Reasonsboxes","Has a good reputation:Reasonsboxes","On my side:Reasonsboxes","Something I've been using for years:Reasonsboxes","Distinctive:Reasonsboxes","New Hidden Value","Loyal:Affect","Admiring:Affect","Friendly:Affect","Enthusiastic:Affect","Hooked:Affect","Disgusted:Affect","Frustrated:Affect","Unsatisfied:Affect","Annoyed:Affect","Turned off:Affect","Used an online encyclopedia such as Wikipedia:TasksA","Checked the weather online:TasksA","Visited a group-buying / deal site such as Groupon:TasksA","Watched a vlog:TasksA","Visited an online retail site or store such as Amazon:TasksA","Made a phone call over the internet:TasksA","Listened to an online radio station / service:TasksA","Uploaded / shared a video:TasksA","Used a music-streaming service:TasksA","Used an online dating service:TasksA","Listened to or watched a podcast:TasksA","Used a price comparison service:TasksA","Visited / used a blogging service:TasksA","Used voice search or voice command tools (e.g. Siri, Cortana):TasksA","Posted a comment in a forum:TasksA","Visited a job / recruitment site:TasksA","Visited a business news website:TasksA","Used a chat or instant messaging service:TasksA","I have not done any of these tasks in the last 7 days:TasksA","Visited a travel / vacation website:TasksB","Used a search engine:TasksB","Purchased a product online:TasksB","Used a map or directions service:TasksB","Read or sent an email:TasksB","Posted a review of a product, company or service:TasksB","Visited / used a social network:TasksB","Visited an online casino, gambling, betting or lottery service:TasksB","Used website to order take-away food for delivery:TasksB","Watched sports coverage or highlights online:TasksB","Sold a product online:TasksB","Uploaded / shared a photo:TasksB","Used an internet banking service:TasksB","Visited an online auction site:TasksB","Watched a video clip or visited a video-sharing site:TasksB","Visited a news website:TasksB","Searched for a product or service you want to buy:TasksB","Used a chat or instant messaging service:TasksB","I have not done any of these tasks in the last 7 days:TasksB","Opensource:Shared Values","Independant:Shared Values","NetNeutrality:Shared Values","Available:Shared Values","Privacy:Shared Values","workhours","nonworkhours","primaryness"
"58","Sep 14, 2018 1:30:46 pm","Sep 14, 2018 1:30:52 pm","Disqualified","","","English","","","1536957045_5b9c1a75f05826.31385733","","","","","","","","","","","","Recommended","","","","","Fast","","","","","","Simple","","","","","","Good reputation","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","Sep 14, 2018 1:32:50 pm","Sep 14, 2018 1:33:09 pm","Disqualified","","","English","","","1536957170_5b9c1af2b02065.60411034","","","","","","","","","","","","","","","Opensource","","","","Stable","","","","","","","","","Socially responsible","","On my side","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","Sep 14, 2018 1:33:17 pm","Sep 14, 2018 1:33:24 pm","Disqualified","","","English","","","1536957197_5b9c1b0db1c543.83354844","","","","","","","","","","","","","","","Opensource","","","","","","","Easy to find","","Full of features","","","","","Good reputation","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Sep 14, 2018 1:33:31 pm","Sep 14, 2018 1:33:40 pm","Disqualified","","","English","","","1536957210_5b9c1b1ad84815.39787560","","","","","","","","","","","","","","","","","","","","","","Easy to find","","","","","Efficient","","","","Been using for years","Distinctive","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","Sep 14, 2018 1:33:59 pm","Sep 14, 2018 1:34:06 pm","Disqualified","","","English","","","1536957239_5b9c1b375ba167.50184985","","","","","","","","","","","Independent","","","Different","Opensource","","","","","","","","","Full of features","","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","Sep 14, 2018 1:34:49 pm","Sep 14, 2018 1:34:55 pm","Disqualified","","","English","","","1536957288_5b9c1b68dec965.68496895","","","","","","","","","","","Independent","","","","","Friendly","","","","","","","","","","","","","Good reputation","","Been using for years","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","Sep 14, 2018 1:34:59 pm","Sep 14, 2018 1:35:03 pm","Disqualified","","","English","","","1536957299_5b9c1b73a38c68.25326466","","","","","","","","","","","","","","","","","Fast","Popular","","","","","","Full of features","Secure","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","Sep 14, 2018 1:35:20 pm","Sep 14, 2018 1:39:18 pm","Disqualified","","","English","","","1536957320_5b9c1b88230f26.67825321","","","","","","","","","","","Independent","","","","Opensource","","","","Stable","","","","","","","","","","","On my side","","","09/14/2018","","","","1","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","Sep 14, 2018 1:42:37 pm","Sep 14, 2018 1:44:17 pm","Disqualified","","","English","","","1536957757_5b9c1d3d7f83b8.89208697","","","","","","","","","","","","","","Different","","Friendly","","","","","","","","","","Private","Efficient","","","","","","09/14/2018","2","2","2","3","1","3","2","1","2","2","39","40","","","43","44","45","","47","","49","","","","53","","","56","","","","","4","5","","7","","9","10","","12","","14","","16","17","","","4","4","3","4","4","0","0",""
"67","Sep 14, 2018 1:46:39 pm","Sep 14, 2018 1:47:07 pm","Disqualified","","","English","","","1536957998_5b9c1e2ee2bb74.10236381","","","","","","","","","","","","","Customizable","","Opensource","Friendly","","","","","","","","Full of features","","","","","","","","","09/14/2018","","1","1","2","3","2","","","","1","39","","","","","","","","","","","","","","","54","","","","","2","","","","","","","","10","","","","","15","","","","","","","","","","","",""
"68","Sep 14, 2018 1:47:28 pm","Sep 14, 2018 1:48:08 pm","Disqualified","","","English","","","1536958048_5b9c1e604b6665.81680534","","","","","","","","","","","","Recommended","","","","","","","","","","","Simple","Full of features","","Private","","","","","","","09/14/2018","2","2","2","","","2","","","","2","","","","","","44","","","","","","","","","53","","55","56","","","2","","","","","","","","10","","","","","15","16","","","","","","","","","","",""
"69","Sep 14, 2018 1:48:31 pm","Sep 14, 2018 1:49:02 pm","Disqualified","","","English","","","1536958111_5b9c1e9f3f1d03.58511155","","","","","","","","","","","","","","","","","Fast","","","","","Easy to find","","","","","","Socially responsible","Good reputation","","","","09/14/2018","","","","1","1","1","","1","","1","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","","","",""
"70","Sep 14, 2018 1:50:21 pm","Sep 14, 2018 1:53:07 pm","Disqualified","","","English","","","1536958221_5b9c1f0d689af5.87371775_test","","","","","","","","","","","","","","","","Friendly","","","","","","","","Full of features","","","Efficient","","Good reputation","","","Distinctive","09/14/2018","","","1","","","1","","1","1","1","","","","","","","","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","","","19","0","0","","","0","","",""
"71","Sep 14, 2018 2:30:51 pm","Sep 14, 2018 2:34:01 pm","Complete","","","English","","","1536960651_5b9c288b167fe9.86155244","","","","62.0","0","null","0","63cc68c0-6c99-4b5a-a418-e1d601e7e765","","","Independent","","","","","","Fast","","Stable","","","","Simple","","","Private","","","Good reputation","On my side","","","09/14/2018","1","1","3","2","2","0","0","0","0","0","","","","","","","45","","","","","","","","","","","","","","","","","","","7","","","10","","","","","15","","","","","4","4","4","4","4","4","12","I don't know"
"72","Sep 14, 2018 2:33:47 pm","Sep 14, 2018 2:38:18 pm","Complete","","","English","","","1536960827_5b9c293b7c4c08.01328683","","","","62.0","1","google-2018","0","759d217d-94c4-4f61-91a2-e50c08ee1be4","","","","","Customizable","","","","Fast","","Stable","","","","","Full of features","Secure","Private","Efficient","","","On my side","Been using for years","","09/14/2018","2","0","2","2","0","0","0","0","0","0","39","40","","42","43","","45","46","47","","49","50","51","","53","","55","56","","","2","3","4","5","6","7","","","10","","12","13","","15","16","17","","","3","2","4","4","4","0","6","FF only"
"73","Sep 14, 2018 2:34:44 pm","Sep 14, 2018 2:39:23 pm","Partial","","","English","","","1536960884_5b9c297420d711.32288184","","","","62.0","0","google-2018","0","a15fed7a-8925-5849-8eed-a67f197d503b","","","","","","","","","","","Stable","","","","","","Secure","","Efficient","","","On my side","","","09/14/2018","1","1","1","1","0","0","1","0","0","0","39","","","","43","","45","","","","49","50","","","53","54","","56","","","2","","4","5","","7","","","","","","","","15","","17","","","3","3","1","1","4","","",""
"74","Sep 14, 2018 2:35:18 pm","Sep 14, 2018 2:37:08 pm","Partial","","","English","","","1536960917_5b9c2995e9d294.99564126","","","","62.0","0","google-2018","0","c9dfa555-2f2a-43d8-befd-2724e2dd5712","","","","","Customizable","","","Friendly","Fast","","","","","Easy to find","","Full of features","","Private","","","","On my side","Been using for years","","09/14/2018","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","Sep 14, 2018 2:38:19 pm","Sep 14, 2018 2:42:58 pm","Complete","","","English","","","1536961099_5b9c2a4b8a6bb6.34822997","","","","62.0","1","null","1","ca4126c4-de07-b04e-ba7e-ae81903d5d6e","","","Independent","","","","","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","","Good reputation","","","","09/14/2018","3","1","2","1","2","0","1","1","1","0","39","","","","43","","","","","","","","","","53","","","","","1","2","3","4","5","","7","","","","","","","","","16","17","","","3","4","1","4","3","0","6","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"76","Sep 14, 2018 2:38:47 pm","Sep 14, 2018 2:44:53 pm","Complete","","","English","","","1536961127_5b9c2a67629db7.63241239","","","","62.0","1","google-2018","1","e1642dce-1cdb-4a94-9fa1-1acaf7c5e9d7","","","Independent","","Customizable","","","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","","Good reputation","","","","09/14/2018","2","0","3","2","2","0","0","0","0","0","39","40","","","43","","","","","","","","51","","53","","","","","","2","3","","5","","","","","","","","13","","","16","17","","","1","4","4","","4","0","3","FF only"
"77","Sep 14, 2018 2:38:51 pm","Sep 14, 2018 2:40:34 pm","Partial","","","English","","","1536961131_5b9c2a6b838526.65247852","","","","62.0","1","google-2018","1","6bd2a27f-2be1-4343-91c9-cc9d6cc1445a","","","","","","","","","Fast","","","","","Easy to find","Simple","","","","","","","","Been using for years","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","Sep 14, 2018 2:40:44 pm","Sep 14, 2018 2:45:35 pm","Complete","","","English","","","1536961243_5b9c2adbe0c2b5.12944588","","","","62.0","0","google-2018","0","8077c911-2a12-405d-9c8f-db87eaeaf7fc","","","","","","","","","Fast","","","","","Easy to find","Simple","","Secure","","","","","","Been using for years","","09/14/2018","3","2","3","1","0","0","1","0","0","0","","40","","","43","","","","","","","","","","","","55","","","1","2","","","5","","","","","","","","13","","","","17","","","0","1","3","4","4","0","2","FF only"
"79","Sep 14, 2018 2:42:03 pm","Sep 14, 2018 2:46:04 pm","Complete","","","English","","","1536961323_5b9c2b2b525c86.12930224","","","","62.0","1","bing","1","4d3fc640-2564-4a7f-8340-7c8a5b48e9d4","","","","","Customizable","","","","Fast","","Stable","","","","Simple","Full of features","","","","","Good reputation","","","","09/14/2018","1","1","1","1","0","0","0","0","0","0","39","40","","","43","44","45","","47","","49","","51","","53","54","55","56","","","2","3","4","5","","7","","","","11","","13","14","15","16","17","","","3","1","1","4","4","3","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"80","Sep 14, 2018 2:45:12 pm","Sep 14, 2018 2:48:07 pm","Complete","","","English","","","1536961512_5b9c2be8670867.44862827","","","","62.0","1","google-2018","0","82c61483-bd6d-4fa1-a23c-ba4a9785d870","","","","","","","Opensource","Friendly","","","Stable","","","Easy to find","","","","Private","Efficient","","","","","","09/14/2018","3","1","2","3","0","0","0","0","0","0","","40","","","43","","","","","","","","","","","","","","","1","","","4","5","","","","","10","","","13","","","","","","","3","4","4","4","4","2","2","FF only"
"81","Sep 14, 2018 2:44:23 pm","Sep 14, 2018 2:51:47 pm","Complete","","","English","","","1536961463_5b9c2bb7595925.83241248","","","","62.0","0","google","0","adebbb29-f34a-40b3-8c19-641d24e9c220","","","Independent","","","","","Friendly","Fast","","Stable","","","","Simple","","Secure","","","","","","","","09/14/2018","3","1","2","1","1","0","0","0","0","0","","","","","43","","","","47","","","","","","53","","55","56","","","2","3","4","5","","7","","","","","12","13","14","15","16","17","","","3","2","1","2","1",".5","2","FF only"
"82","Sep 14, 2018 2:45:51 pm","Sep 14, 2018 2:46:24 pm","Partial","","","English","","","1536961551_5b9c2c0f7a2a20.31816464","","","","62.0","0","google-2018","1","88745aba-1bff-45a1-8cf6-3e550282f5bc","","","Independent","","","","","","Fast","","Stable","","","","","Full of features","Secure","Private","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","Sep 14, 2018 2:49:13 pm","Sep 14, 2018 2:53:47 pm","Complete","","","English","","","1536961753_5b9c2cd94cb1b6.44413934","","","","62.0","1","null","0","f32f1f82-459d-4137-985f-f9e2bf48ad38","","","","","Customizable","","","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","Private","Efficient","","Good reputation","On my side","","","09/14/2018","3","3","3","3","3","0","0","0","0","0","39","40","","","43","","","","","","49","","","","","","55","","","","2","3","","5","","","","","","","","","","15","16","","","","0","1","0","4","4","2","2","FF only"
"84","Sep 14, 2018 2:49:19 pm","Sep 14, 2018 2:52:24 pm","Complete","","","English","","","1536961759_5b9c2cdf56a559.93158443","","","","62.0","1","google-2018","0","0e86ea58-b8a1-40a0-be0d-69e407ff933f","","","Independent","","Customizable","","","","Fast","","","","","","","","","","","","Good reputation","","","","09/14/2018","0","0","0","0","0","0","1","0","1","0","39","","","","","","","","","","","","51","","","","","","","","2","","","","","7","","","","","","","","","","","","","0","3","4","4","4","0","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"85","Sep 14, 2018 2:49:34 pm","Sep 14, 2018 2:55:24 pm","Complete","","","English","","","1536961774_5b9c2ceecbb6b2.39356277","","","","62.0","1","google-2018","0","0a901deb-f680-45cf-87a5-0a845a487f52","","","","","","","Opensource","Friendly","Fast","Popular","Stable","","","","Simple","","Secure","Private","Efficient","Socially responsible","Good reputation","","Been using for years","","09/14/2018","3","2","2","2","2","0","0","0","0","0","39","40","","","43","44","","","47","","","","","","53","","","","","1","2","3","4","5","","7","","","","","12","13","","15","","","","","4","3","4","4","3","8","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"86","Sep 14, 2018 2:50:24 pm","Sep 14, 2018 2:53:41 pm","Complete","","","English","","","1536961824_5b9c2d2050c997.32545060","","","","60.0.2","1","google-2018","1","39e5cec1-b883-4474-a616-4fe20e7968c6","","","Independent","","Customizable","","Opensource","","Fast","Popular","Stable","","","","","Full of features","Secure","Private","Efficient","Socially responsible","","","","","09/14/2018","3","1","3","2","1","0","0","0","1","0","39","40","","42","43","44","45","46","47","","","","51","","53","54","55","56","","1","2","3","4","5","6","7","","","","11","12","13","14","15","16","17","","","4","3","4","4","4","7","5","FF only"
"87","Sep 14, 2018 2:50:30 pm","Sep 14, 2018 2:54:39 pm","Complete","","","English","","","1536961830_5b9c2d26d58871.51357804","","","","62.0","1","google-2018","0","bd50c057-74e6-4ac0-9b17-3d498cd3a575","","","","","Customizable","","","Friendly","Fast","","","","","","","Full of features","Secure","","Efficient","","Good reputation","","","","09/14/2018","2","1","3","1","1","0","1","0","1","0","39","40","","","43","","45","46","47","","","","51","","53","","55","","","1","2","3","4","5","","7","","","","","","13","","","16","17","","","3","2","4","4","3","4","5","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"88","Sep 14, 2018 2:50:33 pm","Sep 14, 2018 2:50:59 pm","Partial","","","English","","","1536961833_5b9c2d293500c9.15911376","","","","62.0","1","google-2018","0","bf20ba5b-249c-4276-8e31-e1c414fcbc86","","","","","Customizable","","Opensource","","","Popular","Stable","","","","Simple","Full of features","","","","","","","Been using for years","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","Sep 14, 2018 2:50:52 pm","Sep 14, 2018 2:52:18 pm","Partial","","","English","","","1536961852_5b9c2d3cde5da7.14377324","","","","62.0","1","bing","0","e38799ee-5bbd-4236-abc8-552f16a44866","","","","","","","","","Fast","","","","","Easy to find","Simple","","Secure","","","","","","","","09/14/2018","2","2","3","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","Sep 14, 2018 2:50:37 pm","Sep 14, 2018 3:02:59 pm","Complete","","","English","","","1536961837_5b9c2d2d3ca682.76882689","","","","62.0","0","google-2018","0","56ebcfca-2786-4664-ad8c-6c013c59cff3","","","Independent","","Customizable","","Opensource","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","Private","Efficient","Socially responsible","Good reputation","On my side","","","09/14/2018","3","3","3","3","2","0","0","3","0","0","39","","","","43","","","46","","","49","50","","","53","","","56","","","2","3","4","5","6","7","","","10","","","13","14","15","16","17","","","3","3","3","3","3","0","8","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"91","Sep 14, 2018 2:51:21 pm","Sep 14, 2018 2:54:44 pm","Complete","","","English","","","1536961881_5b9c2d59004546.22951416","","","","62.0","1","google-2018","0","3ff21980-9b9a-4552-9242-93d5b5b4534c","","","Independent","","","","","","Fast","","Stable","","","","Simple","","Secure","","Efficient","","","","","","09/14/2018","3","2","2","1","","0","1","1","1","0","39","40","","","43","","","","","","","","","","","54","","","","1","2","3","","5","","","","","","","","13","14","","","17","","","4","1","3","","4","0","4","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"92","Sep 14, 2018 2:51:02 pm","Sep 14, 2018 2:56:13 pm","Complete","","","English","","","1536961861_5b9c2d45e4de00.71985248","","","","62.0","1","google-2018","0","1e2146d6-8493-4369-8873-8de064ddd3a2","","","","","Customizable","","","Friendly","Fast","","Stable","","","","Simple","","","","","Socially responsible","Good reputation","On my side","","","09/14/2018","2","1","1","1","1","","0","0","0","0","39","40","","42","43","44","","","","","49","","","","53","","55","56","","","2","3","","5","","7","","","","","","13","","","16","17","","","4","4","4","4","4","0","12","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"93","Sep 14, 2018 2:52:37 pm","Sep 14, 2018 2:56:17 pm","Complete","","","English","","","1536961957_5b9c2da59c2b21.59029882","","","","62.0","1","google-2018","1","b88f1226-02f9-4e22-9a5a-42b6680eeed9","","","Independent","","","","Opensource","","","","Stable","","","","Simple","","","Private","","Socially responsible","","","Been using for years","","09/14/2018","3","0","2","2","1","0","0","0","0","0","","40","","","43","","","","","","","","","","","","","","","","2","3","","5","6","7","","","","11","12","13","","","16","17","","","4","4","3","4","4","0","4","FF only"
"94","Sep 14, 2018 2:52:45 pm","Sep 14, 2018 2:56:26 pm","Complete","","","English","","","1536961965_5b9c2dad72dbb2.09495194","","","","61.0.2","1","google-2018","1","0e54bba5-345c-4340-b86f-4409bc5822e7","","","Independent","","","Different","Opensource","Friendly","Fast","","","","","","Simple","","","","","Socially responsible","Good reputation","","Been using for years","","09/14/2018","3","3","3","","3","0","0","3","0","0","39","","","","","","","","","","","","","","53","54","","","","","2","3","4","5","","7","","","10","","","","","","16","","","","4","4","4","4","4","0","12","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"95","Sep 14, 2018 2:53:06 pm","Sep 14, 2018 2:55:54 pm","Complete","","","English","","","1536961986_5b9c2dc25b4a73.28464997","","","","62.0","1","google-2018","1","fb21a688-21e0-0f40-b824-568984537cc9","","","","","","","Opensource","","Fast","","Stable","","","","","","","Private","Efficient","Socially responsible","","","","","09/14/2018","2","3","2","3","2","0","0","0","0","0","39","40","","","43","","","","47","","49","","","","","","55","","","","2","3","4","5","","7","","","10","","","","","","16","17","","","4","3","4","4","4","7","1","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"96","Sep 14, 2018 2:53:28 pm","Sep 14, 2018 2:59:29 pm","Complete","","","English","","","1536962008_5b9c2dd82aa3b9.67764462","","","","62.0","1","ddg","0","627f0b58-4895-4af6-a99a-fa8c854225ed","","","","","","","","","Fast","","","","","Easy to find","","","","","Efficient","","Good reputation","","","","09/14/2018","3","2","2","3","3","0","0","0","0","0","","40","","","43","","","46","","","49","","","","53","","55","","","","","","","","","","","","","","","","","","","","","","0","3","2","3","3","1","3","FF only"
